ProvinceID,ProvinceThai,ProvinceEng,ภูมิภาคอย่างเป็นทางการ,ภูมิภาคแบบสี่ภูมิภาค,ภูมิภาคท่องเที่ยวแห่งประเทศไทย,กรุงเทพปริมณฑลต่างจังหวัด,พื้นที่ ตรกม,ประชากรรวม62,ประชากรชาย62,ประชากรหญิง62,จำนวนบ้าน62,
10,กรุงเทพมหานคร,Bangkok,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,1568.737,5666264,2669316,2996948,3041115,
11,สมุทรปราการ,Samut Prakarn,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,1004.092,1344875,642774,702101,693926,
12,นนทบุรี,Nonthaburi,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,622.303,1265387,589949,675438,701932,
13,ปทุมธานี,Pathum Thani,ภาคกลาง,ภาคกลาง,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,1525.856,1163604,552156,611448,624930,
14,พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,ภาคกลาง,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,2556.64,820188,394901,425287,329102,
15,อ่างทอง,Ang Thong,ภาคกลาง,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,968.372,279654,134095,145559,99928,
16,ลพบุรี,Lop Buri,ภาคกลาง,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,6199.753,755556,378813,376743,295486,
17,สิงห์บุรี,Sing Buri,ภาคกลาง,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,822.478,208446,99265,109181,77432,
18,ชัยนาท,Chai Nat,ภาคกลาง,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,2469.746,326611,157132,169479,125029,
19,สระบุรี,Saraburi,ภาคกลาง,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,3576.486,645911,318243,327668,277184,
20,ชลบุรี,Chon Buri,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,4363,1558301,762141,796160,1047473,
21,ระยอง,Rayong,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,3552,734753,361109,373644,489617,
22,จันทบุรี,Chanthaburi,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,6338,537698,263485,274213,239184,
23,ตราด,Trat,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,2819,229958,113973,115985,106685,
24,ฉะเชิงเทรา,Chachoengsao,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,5351,720113,353368,366745,305121,
25,ปราจีนบุรี,Prachin Buri,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,4762.362,494680,245180,249500,214024,
26,นครนายก,Nakhon Nayok,ภาคกลาง,ภาคกลาง,ภาคกลาง,ต่างจังหวัด,2122,260751,129046,131705,99423,
27,สระแก้ว,Sa kaeo,ภาคตะวันออก,ภาคกลาง,ภาคตะวันออก,ต่างจังหวัด,7195.138,566303,283497,282806,212786,
30,นครราชสีมา,Nakhon Ratchasima,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,20493.964,2648927,1303944,1344983,983771,
31,บุรีรัมย์,Buri Ram,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,10322.885,1595747,793262,802485,468483,
32,สุรินทร์,Surin,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,8124.056,1396831,696248,700583,397878,
33,ศรีสะเกษ,Si Sa Ket,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,8839.976,1472859,734405,738454,393356,
34,อุบลราชธานี,Ubon Ratchathani,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,15744.85,1878146,939054,939092,605004,
35,ยโสธร,Yasothon,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,4161.664,537299,268774,268525,172580,
36,ชัยภูมิ,Chaiyaphum,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,12778.287,1137357,562900,574457,394064,
37,อำนาจเจริญ,Amnat Charoen,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,3161.248,378438,188632,189806,117994,
38,บึงกาฬ,Bueng Kan,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,4305.746,424091,212859,211232,135143,
39,หนองบัวลำภู,Nong Bua Lam Phu,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,3859.086,512780,256221,256559,149891,
40,ขอนแก่น,Khon Kaen,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,10885.991,1802872,887501,915371,628656,
41,อุดรธานี,Udon Thani,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,11730.302,1586646,787642,799004,519338,
42,เลย,Loei,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,11424.612,642950,322851,320099,223231,
43,หนองคาย,Nong Khai,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,3026.534,522311,259849,262462,175639,
44,มหาสารคาม,Maha Sarakham,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ภาคตะวันออกเฉียงเหนือ,ต่างจังหวัด,5291.683,962665,472198,490467,299717,
