ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
Row Labels,Distinct Count of ProvinceID,Distinct Count of DistrictID,Distinct Count of TambonID,
กระบี่,1,8,53,
กรุงเทพมหานคร,1,50,180,
กาญจนบุรี,1,13,98,
กาฬสินธุ์,1,18,135,
กำแพงเพชร,1,11,78,
ขอนแก่น,1,26,199,
จันทบุรี,1,10,76,
ฉะเชิงเทรา,1,11,93,
ชลบุรี,1,11,92,
ชัยนาท,1,8,53,
ชัยภูมิ,1,16,124,
ชุมพร,1,8,70,
เชียงราย,1,18,124,
เชียงใหม่,1,25,204,
ตรัง,1,10,87,
ตราด,1,7,38,
ตาก,1,9,63,
นครนายก,1,4,41,
นครปฐม,1,7,106,
นครพนม,1,12,99,
นครราชสีมา,1,32,289,
นครศรีธรรมราช,1,23,170,
นครสวรรค์,1,15,130,
นนทบุรี,1,6,52,
นราธิวาส,1,13,77,
น่าน,1,15,99,
บึงกาฬ,1,8,53,
บุรีรัมย์,1,23,189,
ปทุมธานี,1,7,60,
ประจวบคีรีขันธ์,1,8,48,
ปราจีนบุรี,1,7,65,
ปัตตานี,1,12,115,
พระนครศรีอยุธยา,1,16,209,
พะเยา,1,9,68,
พังงา,1,8,48,
พัทลุง,1,11,65,
พิจิตร,1,12,89,
พิษณุโลก,1,9,93,
เพชรบุรี,1,8,93,
เพชรบูรณ์,1,11,117,
แพร่,1,8,78,
ภูเก็ต,1,3,17,
มหาสารคาม,1,13,133,
มุกดาหาร,1,7,53,
แม่ฮ่องสอน,1,7,45,
ยโสธร,1,9,79,
ยะลา,1,8,58,
ร้อยเอ็ด,1,20,193,
ระนอง,1,5,30,
ระยอง,1,8,58,
ราชบุรี,1,10,104,
ลพบุรี,1,11,124,
ลำปาง,1,13,100,
ลำพูน,1,8,51,
เลย,1,14,90,
ศรีสะเกษ,1,22,206,
สกลนคร,1,18,125,
สงขลา,1,16,127,
สตูล,1,7,36,
สมุทรปราการ,1,6,50,
สมุทรสงคราม,1,3,36,
สมุทรสาคร,1,3,40,
สระแก้ว,1,9,59,
สระบุรี,1,13,111,
สิงห์บุรี,1,6,43,
สุโขทัย,1,9,86,
สุพรรณบุรี,1,10,110,
สุราษฎร์ธานี,1,19,131,
สุรินทร์,1,17,159,
หนองคาย,1,9,62,
หนองบัวลำภู,1,6,59,
อ่างทอง,1,7,73,
อำนาจเจริญ,1,7,56,
อุดรธานี,1,20,156,
อุตรดิตถ์,1,9,67,
อุทัยธานี,1,8,70,
อุบลราชธานี,1,25,219,
Grand Total,77,928,7436,
