ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
ProvinceThai,DistrictThaiShort,Distinct Count of PostCode,All Post Code,
กระบี่,เกาะลันตา,2,81120/81150,
,เขาพนม,2,80240/81140,
,คลองท่อม,2,81120/81170,
,ปลายพระยา,1,81160,
,เมืองกระบี่,1,81000,
,ลำทับ,1,81190,
,เหนือคลอง,1,81130,
,อ่าวลึก,1,81110,
กระบี่ Total,,10,80240/81000/81110/81120/81130/81140/81150/81160/81170/81190,
กรุงเทพมหานคร,คลองเตย,2,10110/10260,
,คลองสาน,1,10600,
,คลองสามวา,1,10510,
,คันนายาว,1,10230,
,จตุจักร,1,10900,
,จอมทอง,1,10150,
,ดอนเมือง,1,10210,
,ดินแดง,1,10400,
,ดุสิต,2,10300/10303,
,ตลิ่งชัน,1,10170,
,ทวีวัฒนา,1,10170,
,ทุ่งครุ,1,10140,
,ธนบุรี,1,10600,
,บางกอกน้อย,1,10700,
,บางกอกใหญ่,1,10600,
,บางกะปิ,2,10240/10250,
,บางขุนเทียน,1,10150,
,บางเขน,2,10220/10230,
,บางคอแหลม,1,10120,
,บางแค,1,10160,
,บางซื่อ,1,10800,
,บางนา,1,10260,
,บางบอน,1,10150,
,บางพลัด,1,10700,
,บางรัก,1,10500,
,บึงกุ่ม,2,10230/10240,
,ปทุมวัน,5,10110/10120/10330/10400/10500,
,ประเวศ,1,10250,
,ป้อมปราบศัตรูพ่าย,1,10100,
,พญาไท,1,10400,
,พระโขนง,1,10260,
,พระนคร,1,10200,
,ภาษีเจริญ,1,10160,
,มีนบุรี,1,10510,
,ยานนาวา,1,10120,
,ราชเทวี,1,10400,
,ราษฎร์บูรณะ,1,10140,
,ลาดกระบัง,1,10520,
,ลาดพร้าว,1,10230,
,วังทองหลาง,1,10310,
,วัฒนา,2,10110/10260,
,สวนหลวง,1,10250,
,สะพานสูง,2,10240/10250,
,สัมพันธวงศ์,1,10100,
,สาทร,1,10120,
,สายไหม,1,10220,
,หนองแขม,1,10160,
,หนองจอก,1,10530,
,หลักสี่,1,10210,
,ห้วยขวาง,1,10310,
