ภูมิภาคอย่างเป็นทางการ,All,,,
กรุงเทพปริมณฑลต่างจังหวัด,All,,,
,,,,
PostCode,Distinct Count of ProvinceThai,ProvinceList,,
10100,1,กรุงเทพมหานคร,,
10110,1,กรุงเทพมหานคร,,
10120,1,กรุงเทพมหานคร,,
10130,1,สมุทรปราการ,,
10140,1,กรุงเทพมหานคร,,
10150,1,กรุงเทพมหานคร,,
10160,1,กรุงเทพมหานคร,,
10170,1,กรุงเทพมหานคร,,
10200,1,กรุงเทพมหานคร,,
10210,1,กรุงเทพมหานคร,,
10220,1,กรุงเทพมหานคร,,
10230,1,กรุงเทพมหานคร,,
10240,1,กรุงเทพมหานคร,,
10250,1,กรุงเทพมหานคร,,
10260,1,กรุงเทพมหานคร,,
10270,1,สมุทรปราการ,,
10280,1,สมุทรปราการ,,
10290,1,สมุทรปราการ,,
10300,1,กรุงเทพมหานคร,,
10303,1,กรุงเทพมหานคร,,
10310,1,กรุงเทพมหานคร,,
10330,1,กรุงเทพมหานคร,,
10400,1,กรุงเทพมหานคร,,
10500,1,กรุงเทพมหานคร,,
10510,1,กรุงเทพมหานคร,,
10520,1,กรุงเทพมหานคร,,
10530,1,กรุงเทพมหานคร,,
10540,1,สมุทรปราการ,,
10550,1,สมุทรปราการ,,
10560,1,สมุทรปราการ,,
10570,1,สมุทรปราการ,,
10600,1,กรุงเทพมหานคร,,
10700,1,กรุงเทพมหานคร,,
10800,1,กรุงเทพมหานคร,,
10900,1,กรุงเทพมหานคร,,
11000,1,นนทบุรี,,
11110,1,นนทบุรี,,
11120,1,นนทบุรี,,
11130,1,นนทบุรี,,
11140,1,นนทบุรี,,
11150,1,นนทบุรี,,
12000,1,ปทุมธานี,,
12110,1,ปทุมธานี,,
12120,1,ปทุมธานี,,
12121,1,ปทุมธานี,,
12130,1,ปทุมธานี,,
12140,1,ปทุมธานี,,
12150,1,ปทุมธานี,,
12160,1,ปทุมธานี,,
12170,1,ปทุมธานี,,
13000,1,พระนครศรีอยุธยา,,
13110,1,พระนครศรีอยุธยา,,
13120,1,พระนครศรีอยุธยา,,
13130,1,พระนครศรีอยุธยา,,
13140,1,พระนครศรีอยุธยา,,
13150,1,พระนครศรีอยุธยา,,
13160,1,พระนครศรีอยุธยา,,
13170,1,พระนครศรีอยุธยา,,
13180,2,ปทุมธานี / พระนครศรีอยุธยา,,
13190,1,พระนครศรีอยุธยา,,
13210,1,พระนครศรีอยุธยา,,
13220,1,พระนครศรีอยุธยา,,
13230,1,พระนครศรีอยุธยา,,
13240,2,พระนครศรีอยุธยา / ลพบุรี,,
13250,1,พระนครศรีอยุธยา,,
13260,1,พระนครศรีอยุธยา,,
13270,1,พระนครศรีอยุธยา,,
13280,1,พระนครศรีอยุธยา,,
13290,1,พระนครศรีอยุธยา,,
14000,1,อ่างทอง,,
14110,1,อ่างทอง,,
14120,1,อ่างทอง,,
14130,1,อ่างทอง,,
14140,1,อ่างทอง,,
14150,1,อ่างทอง,,
14160,1,อ่างทอง,,
15000,1,ลพบุรี,,
15110,1,ลพบุรี,,
15120,1,ลพบุรี,,
15130,1,ลพบุรี,,
15140,1,ลพบุรี,,
15150,1,ลพบุรี,,
15160,1,ลพบุรี,,
15170,1,ลพบุรี,,
15180,1,ลพบุรี,,
15190,1,ลพบุรี,,
15210,1,ลพบุรี,,
15220,1,ลพบุรี,,
15230,1,ลพบุรี,,
15240,1,ลพบุรี,,
15250,1,ลพบุรี,,
16000,1,สิงห์บุรี,,
16110,1,สิงห์บุรี,,
16120,1,สิงห์บุรี,,
16130,1,สิงห์บุรี,,
16140,1,สิงห์บุรี,,
16150,1,สิงห์บุรี,,
16160,1,สิงห์บุรี,,
17000,1,ชัยนาท,,
17110,1,ชัยนาท,,
17120,1,ชัยนาท,,
17130,1,ชัยนาท,,
17140,1,ชัยนาท,,
17150,1,ชัยนาท,,
17160,1,ชัยนาท,,
17170,1,ชัยนาท,,
18000,1,สระบุรี,,
18110,1,สระบุรี,,
18120,1,สระบุรี,,
18130,1,สระบุรี,,
18140,1,สระบุรี,,
18150,1,สระบุรี,,
18160,1,สระบุรี,,
18170,1,สระบุรี,,
18180,1,สระบุรี,,
18190,1,สระบุรี,,
18210,1,สระบุรี,,
18220,2,ลพบุรี / สระบุรี,,
18230,1,สระบุรี,,
18240,1,สระบุรี,,
18250,2,พระนครศรีอยุธยา / สระบุรี,,
18260,1,สระบุรี,,
18270,2,พระนครศรีอยุธยา / สระบุรี,,
20000,1,ชลบุรี,,
20110,1,ชลบุรี,,
20120,1,ชลบุรี,,
20130,1,ชลบุรี,,
20131,1,ชลบุรี,,
20140,1,ชลบุรี,,
20150,1,ชลบุรี,,
20160,1,ชลบุรี,,
20170,1,ชลบุรี,,
20180,1,ชลบุรี,,
20182,1,ชลบุรี,,
20190,1,ชลบุรี,,
20220,1,ชลบุรี,,
20230,1,ชลบุรี,,
20240,1,ชลบุรี,,
20250,1,ชลบุรี,,
20251,1,ชลบุรี,,
20270,1,ชลบุรี,,
21000,1,ระยอง,,
21100,1,ระยอง,,
21110,1,ระยอง,,
21120,1,ระยอง,,
21130,1,ระยอง,,
21140,1,ระยอง,,
21150,1,ระยอง,,
21160,1,ระยอง,,
21170,1,ระยอง,,
21180,1,ระยอง,,
21190,1,ระยอง,,
21210,1,ระยอง,,
22000,1,จันทบุรี,,
22110,1,จันทบุรี,,
22120,1,จันทบุรี,,
22130,1,จันทบุรี,,
22140,1,จันทบุรี,,
22150,1,จันทบุรี,,
22160,2,จันทบุรี / ระยอง,,
22170,1,จันทบุรี,,
22180,1,จันทบุรี,,
22190,1,จันทบุรี,,
22210,1,จันทบุรี,,
23000,1,ตราด,,
23110,1,ตราด,,
