NO,PostCode,TambonID,หมายเหตุ,TambonThaiShort,DistrictThaiShort,ProvinceThai,ภูมิภาคอย่างเป็นทางการ,กรุงเทพปริมณฑลต่างจังหวัด,
1,10200,100101,,พระบรมมหาราชวัง,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
2,10200,100102,,วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
3,10200,100103,,วัดราชบพิธ,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
4,10200,100104,,สำราญราษฎร์,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
5,10200,100105,,ศาลเจ้าพ่อเสือ,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
6,10200,100106,,เสาชิงช้า,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
7,10200,100107,,บวรนิเวศ,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
8,10200,100108,,ตลาดยอด,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
9,10200,100109,,ชนะสงคราม,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
10,10200,100110,,บ้านพานถม,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
11,10200,100111,,บางขุนพรหม,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
12,10200,100112,,วัดสามพระยา,พระนคร,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
13,10300,100201,,ดุสิต,ดุสิต,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
14,10300,100202,,วชิรพยาบาล,ดุสิต,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
15,10300,100203,ทั้งแขวง(ยกเว้น ภายในพระราชวังดุสิต ใช้รหัส 10303),สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
16,10303,100203,เฉพาะภายในพระราชวังดุสิต,สวนจิตรลดา,ดุสิต,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
17,10300,100204,,สี่แยกมหานาค,ดุสิต,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
18,10300,100206,,ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
19,10530,100301,,กระทุ่มราย,หนองจอก,กรุงเทพมหานคร,ภาคกลาง,กรุงเทพมหานครและปริมณฑล,
